monster::council-member::baalhighpriest	Council Member	議會成員	councilmember	"[""councilmember""]"	blizzhackers/d2data	True	"{""base_id"": ""baalhighpriest"", ""source_file"": ""monstats.json""}"
monster::council-member::councilmember1	Council Member	議會成員	councilmember	"[""councilmember"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""councilmember1"", ""source_file"": ""monstats.json""}"
monster::council-member::councilmember2	Council Member	議會成員	councilmember	"[""councilmember"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""councilmember1"", ""source_file"": ""monstats.json""}"
monster::council-member::councilmember3	Council Member	議會成員	councilmember	"[""councilmember"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""councilmember1"", ""source_file"": ""monstats.json""}"
monster::crush-beast::siegebeast2	Crush Beast	重壓獸	siegebeast	"[""hell_immune_drain_effectiveness"", ""hell_immune_fire"", ""siegebeast""]"	blizzhackers/d2data	True	"{""base_id"": ""siegebeast1"", ""source_file"": ""monstats.json""}"
monster::crusher::brute4	Crusher	壓碎者	brute	"[""brute"", ""hell_immune_cold"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""brute2"", ""source_file"": ""monstats.json""}"
monster::damned::bighead10	Damned	詛咒怪	bighead	"[""bighead"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""bighead1"", ""source_file"": ""monstats.json""}"
monster::damned::bighead5	Damned	詛咒怪	bighead	"[""bighead"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""bighead1"", ""source_file"": ""monstats.json""}"
monster::dark-archer::cr_archer3	Dark Archer	黑暗弓箭手	corruptrogue	"[""corruptrogue"", ""hell_immune_drain_effectiveness"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""cr_archer1"", ""source_file"": ""monstats.json""}"
monster::dark-archer::cr_archer7	Dark Archer	黑暗弓箭手	corruptrogue	"[""corruptrogue"", ""hell_immune_cold"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""cr_archer1"", ""source_file"": ""monstats.json""}"
monster::dark-archer::cr_archer8	Dark Archer	黑暗弓箭手	corruptrogue	"[""corruptrogue"", ""hell_immune_cold"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""cr_archer1"", ""source_file"": ""monstats.json""}"
monster::dark-familiar::batdemon5	Dark Familiar	黑暗熟視者	batdemon	"[""batdemon"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""batdemon1"", ""source_file"": ""monstats.json""}"
monster::dark-hunter::corruptrogue1	Dark Hunter	黑暗獵人	corruptrogue	"[""corruptrogue"", ""hell_immune_cold"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""corruptrogue1"", ""source_file"": ""monstats.json""}"
monster::dark-lancer::cr_lancer3	Dark Lancer	黑暗長槍手	corruptrogue	"[""corruptrogue"", ""hell_immune_drain_effectiveness"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""cr_lancer1"", ""source_file"": ""monstats.json""}"
monster::dark-lancer::cr_lancer7	Dark Lancer	黑暗長槍手	corruptrogue	"[""corruptrogue"", ""hell_immune_drain_effectiveness"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""cr_lancer1"", ""source_file"": ""monstats.json""}"
monster::dark-lord::vampire3	Dark Lord	黑暗之王	vampire	"[""hell_immune_cold"", ""vampire""]"	blizzhackers/d2data	True	"{""base_id"": ""vampire1"", ""source_file"": ""monstats.json""}"
monster::dark-lord::vampire8	Dark Lord	黑暗之王	vampire	"[""hell_immune_cold"", ""vampire""]"	blizzhackers/d2data	True	"{""base_id"": ""vampire1"", ""source_file"": ""monstats.json""}"
monster::dark-lord::vampire9	Dark Lord	黑暗之王	vampire	"[""hell_immune_cold"", ""hell_immune_physical"", ""vampire""]"	blizzhackers/d2data	True	"{""base_id"": ""vampire1"", ""source_file"": ""monstats.json""}"
monster::dark-one::fallen4	Dark One	黑暗魔	fallen	"[""fallen"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""fallen1"", ""source_file"": ""monstats.json""}"
monster::dark-one::fallen8	Dark One	黑暗魔	fallen	"[""fallen"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""fallen1"", ""source_file"": ""monstats.json""}"
monster::dark-ranger::cr_archer1	Dark Ranger	黑色流浪者	corruptrogue	"[""corruptrogue"", ""hell_immune_drain_effectiveness"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""cr_archer1"", ""source_file"": ""monstats.json""}"
monster::dark-shaman::fallenshaman4	Dark Shaman	黑暗巫師	fallen	"[""fallen"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""fallenshaman1"", ""source_file"": ""monstats.json""}"
monster::dark-shaman::fallenshaman8	Dark Shaman	黑暗巫師	fallen	"[""fallen""]"	blizzhackers/d2data	True	"{""base_id"": ""fallenshaman1"", ""source_file"": ""monstats.json""}"
monster::dark-shape::wraith5	Dark Shape	黑暗身影	wraith	"[""hell_immune_physical"", ""wraith""]"	blizzhackers/d2data	True	"{""base_id"": ""wraith1"", ""source_file"": ""monstats.json""}"
monster::dark-spearwoman::cr_lancer1	Dark Spearwoman	黑暗女槍手	corruptrogue	"[""corruptrogue"", ""hell_immune_drain_effectiveness"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""cr_lancer1"", ""source_file"": ""monstats.json""}"
monster::dark-stalker::corruptrogue3	Dark Stalker	黑暗偷襲者	corruptrogue	"[""corruptrogue"", ""hell_immune_cold"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""corruptrogue1"", ""source_file"": ""monstats.json""}"
monster::death-beetle::scarab2	Death Beetle	死亡甲蟲	scarab	"[""hell_immune_lightning"", ""scarab""]"	blizzhackers/d2data	True	"{""base_id"": ""scarab1"", ""source_file"": ""monstats.json""}"
monster::death-berserker::deathmauler4	Death Berserker	狂戰士死神	deathmauler	"[""deathmauler"", ""hell_immune_physical""]"	blizzhackers/d2data	True	"{""base_id"": ""deathmauler1"", ""source_file"": ""monstats.json""}"
monster::death-brawler::deathmauler2	Death Brawler	爭吵死神	deathmauler	"[""deathmauler"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""deathmauler1"", ""source_file"": ""monstats.json""}"
monster::death-brigadier::deathmauler5	Death Brigadier	死神之長	deathmauler	"[""deathmauler"", ""hell_immune_cold""]"	blizzhackers/d2data	True	"{""base_id"": ""deathmauler1"", ""source_file"": ""monstats.json""}"
monster::death-clan::goatman10	Death Clan	死亡一族	goatman	"[""goatman"", ""hell_immune_cold""]"	blizzhackers/d2data	True	"{""base_id"": ""goatman1"", ""source_file"": ""monstats.json""}"
monster::death-clan::goatman5	Death Clan	死亡一族	goatman	"[""goatman""]"	blizzhackers/d2data	True	"{""base_id"": ""goatman1"", ""source_file"": ""monstats.json""}"
monster::death-lord::bloodlord5	Death Lord	死神之王	bloodlord	"[""bloodlord"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""bloodlord1"", ""source_file"": ""monstats.json""}"
monster::death-mage::skmage_cold3	Death Mage	死亡法師	skeleton	"[""hell_immune_cold"", ""skeleton""]"	blizzhackers/d2data	True	"{""base_id"": ""skmage_cold1"", ""source_file"": ""monstats.json""}"
monster::death-mauler::deathmauler1	Death Mauler	巨鎚死神	deathmauler	"[""deathmauler"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""deathmauler1"", ""source_file"": ""monstats.json""}"
monster::death-mauler::deathmauler6	Death Mauler	巨鎚死神	deathmauler	"[""deathmauler"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""deathmauler1"", ""source_file"": ""monstats.json""}"
monster::death-slasher::deathmauler3	Death Slasher	揮砍死神	deathmauler	"[""deathmauler"", ""hell_immune_cold""]"	blizzhackers/d2data	True	"{""base_id"": ""deathmauler1"", ""source_file"": ""monstats.json""}"
monster::decayed::mummy2	Decayed	腐屍	mummy	"[""hell_immune_poison"", ""mummy""]"	blizzhackers/d2data	True	"{""base_id"": ""mummy1"", ""source_file"": ""monstats.json""}"
monster::defenderspirit::colbarbwhirl	DefenderSpirit	DefenderSpirit	human	"[""hell_immune_drain_effectiveness"", ""hell_immune_fire"", ""human""]"	blizzhackers/d2data	True	"{""base_id"": ""act5barb1"", ""source_file"": ""monstats.json""}"
monster::defiled-warrior::reanimatedhorde5	Defiled Warrior	瀆神戰士	zombie	"[""hell_immune_poison"", ""zombie""]"	blizzhackers/d2data	True	"{""base_id"": ""reanimatedhorde1"", ""source_file"": ""monstats.json""}"
monster::demon-gremlin::imp3	Demon Gremlin	惡魔小精靈	imp	"[""hell_immune_drain_effectiveness"", ""hell_immune_fire"", ""imp""]"	blizzhackers/d2data	True	"{""base_id"": ""imp1"", ""source_file"": ""monstats.json""}"
monster::demon-imp::imp1	Demon Imp	惡魔妖精	imp	"[""hell_immune_drain_effectiveness"", ""hell_immune_fire"", ""imp""]"	blizzhackers/d2data	True	"{""base_id"": ""imp1"", ""source_file"": ""monstats.json""}"
monster::demon-imp::imp6	Demon Imp	惡魔妖精	imp	"[""hell_immune_drain_effectiveness"", ""hell_immune_fire"", ""imp""]"	blizzhackers/d2data	True	"{""base_id"": ""imp1"", ""source_file"": ""monstats.json""}"
monster::demon-rascal::imp2	Demon Rascal	惡魔嘍囉	imp	"[""hell_immune_drain_effectiveness"", ""hell_immune_fire"", ""imp""]"	blizzhackers/d2data	True	"{""base_id"": ""imp1"", ""source_file"": ""monstats.json""}"
monster::demon-sprite::imp5	Demon Sprite	惡魔幽靈	imp	"[""hell_immune_drain_effectiveness"", ""hell_immune_fire"", ""imp""]"	blizzhackers/d2data	True	"{""base_id"": ""imp1"", ""source_file"": ""monstats.json""}"
monster::demon-steed::siegebeast5	Demon Steed	惡魔座騎	siegebeast	"[""hell_immune_cold"", ""hell_immune_drain_effectiveness"", ""siegebeast""]"	blizzhackers/d2data	True	"{""base_id"": ""siegebeast1"", ""source_file"": ""monstats.json""}"
monster::demon-trickster::imp4	Demon Trickster	惡魔騙徒	imp	"[""hell_immune_drain_effectiveness"", ""hell_immune_fire"", ""imp""]"	blizzhackers/d2data	True	"{""base_id"": ""imp1"", ""source_file"": ""monstats.json""}"
monster::demon-trickster::imp7	Demon Trickster	惡魔騙徒	imp	"[""hell_immune_drain_effectiveness"", ""hell_immune_fire"", ""imp""]"	blizzhackers/d2data	True	"{""base_id"": ""imp1"", ""source_file"": ""monstats.json""}"
monster::demon-trickster::imp8	Demon Trickster	惡魔騙徒	imp	"[""hell_immune_drain_effectiveness"", ""hell_immune_fire"", ""imp""]"	blizzhackers/d2data	True	"{""base_id"": ""imp1"", ""source_file"": ""monstats.json""}"
monster::desert-wing::batdemon1	Desert Wing	沙漠之翼	batdemon	"[""batdemon"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""batdemon1"", ""source_file"": ""monstats.json""}"
monster::desertmerc::act2hire	DesertMerc	DesertMerc	human	"[""hell_immune_drain_effectiveness"", ""human""]"	blizzhackers/d2data	True	"{""base_id"": ""act2hire"", ""source_file"": ""monstats.json""}"
monster::devilkin::fallen3	Devilkin	小惡魔	fallen	"[""fallen"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""fallen1"", ""source_file"": ""monstats.json""}"
monster::devilkin::fallen7	Devilkin	小惡魔	fallen	"[""fallen"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""fallen1"", ""source_file"": ""monstats.json""}"
monster::devilkin-shaman::fallenshaman3	Devilkin Shaman	小惡魔巫師	fallen	"[""fallen"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""fallenshaman1"", ""source_file"": ""monstats.json""}"
monster::devilkin-shaman::fallenshaman7	Devilkin Shaman	小惡魔巫師	fallen	"[""fallen""]"	blizzhackers/d2data	True	"{""base_id"": ""fallenshaman1"", ""source_file"": ""monstats.json""}"
monster::devourer::sandmaggot3	Devourer	吞噬者	sandmaggot	"[""hell_immune_poison"", ""sandmaggot""]"	blizzhackers/d2data	True	"{""base_id"": ""sandmaggot1"", ""source_file"": ""monstats.json""}"
monster::devourer-egg::maggotegg3	Devourer Egg	吞噬者之蛋	\N	[]	blizzhackers/d2data	True	"{""base_id"": ""maggotegg1"", ""source_file"": ""monstats.json""}"
monster::devourer-queen::maggotqueen3	Devourer Queen	吞食者皇后	sandmaggot	"[""hell_immune_poison"", ""sandmaggot""]"	blizzhackers/d2data	True	"{""base_id"": ""maggotqueen1"", ""source_file"": ""monstats.json""}"
monster::devourer-young::maggotbaby3	Devourer Young	吞噬者幼生	sandmaggot	"[""hell_immune_poison"", ""sandmaggot""]"	blizzhackers/d2data	True	"{""base_id"": ""maggotbaby1"", ""source_file"": ""monstats.json""}"
monster::diablo::diablo	Diablo	暗黑破壞神	demon	"[""demon""]"	blizzhackers/d2data	True	"{""base_id"": ""diablo"", ""source_file"": ""monstats.json""}"
monster::diablo::diabloclone	Diablo	暗黑破壞神	demon	"[""demon""]"	blizzhackers/d2data	True	"{""base_id"": ""diablo"", ""source_file"": ""monstats.json""}"
monster::diablo::uberdiablo	Diablo	暗黑破壞神	demon	"[""demon"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""diablo"", ""source_file"": ""monstats.json""}"
monster::dire-wolf::fenris	Dire Wolf	狂狼	\N	"[""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""spiritwolf"", ""source_file"": ""monstats.json""}"
monster::disfigured::bighead4	Disfigured	醜陋怪	bighead	"[""bighead"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""bighead1"", ""source_file"": ""monstats.json""}"
monster::disfigured::bighead9	Disfigured	醜陋怪	bighead	"[""bighead"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""bighead1"", ""source_file"": ""monstats.json""}"
monster::doom-ape::baboon4	Doom Ape	毀滅猴怪	baboon	"[""baboon"", ""hell_immune_drain_effectiveness"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""baboon1"", ""source_file"": ""monstats.json""}"
monster::doom-caster::fingermage1	Doom Caster	厄運施術者	fingermage	"[""fingermage"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""fingermage1"", ""source_file"": ""monstats.json""}"
monster::doom-knight::dkfig1	Doom Knight	厄運騎士	doomknight	"[""doomknight"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""doomknight1"", ""source_file"": ""monstats.json""}"
monster::doom-knight::dkfig2	Doom Knight	厄運騎士	doomknight	"[""doomknight"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""doomknight1"", ""source_file"": ""monstats.json""}"
monster::doom-knight::doomknight1	Doom Knight	厄運騎士	doomknight	"[""doomknight"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""doomknight1"", ""source_file"": ""monstats.json""}"
monster::dried-corpse::mummy1	Dried Corpse	乾屍	mummy	"[""hell_immune_poison"", ""mummy""]"	blizzhackers/d2data	True	"{""base_id"": ""mummy1"", ""source_file"": ""monstats.json""}"
monster::drowned-carcass::zombie4	Drowned Carcass	溺斃死屍	zombie	"[""hell_immune_fire"", ""zombie""]"	blizzhackers/d2data	True	"{""base_id"": ""zombie1"", ""source_file"": ""monstats.json""}"
monster::dune-beast::baboon1	Dune Beast	沙丘野獸	baboon	"[""baboon"", ""hell_immune_drain_effectiveness"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""baboon1"", ""source_file"": ""monstats.json""}"
monster::dung-soldier::scarab1	Dung Soldier	水肥戰士	scarab	"[""hell_immune_lightning"", ""scarab""]"	blizzhackers/d2data	True	"{""base_id"": ""scarab1"", ""source_file"": ""monstats.json""}"
monster::duriel::duriel	Duriel	都瑞爾	demon	"[""demon"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""duriel"", ""source_file"": ""monstats.json""}"
monster::duriel::uberduriel	Duriel	都瑞爾	demon	"[""demon"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""duriel"", ""source_file"": ""monstats.json""}"
monster::eagle::eagle	Eagle	老鷹	\N	"[""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""eagle"", ""source_file"": ""monstats.json""}"
monster::embalmed::mummy3	Embalmed	防腐屍怪	mummy	"[""hell_immune_poison"", ""mummy""]"	blizzhackers/d2data	True	"{""base_id"": ""mummy1"", ""source_file"": ""monstats.json""}"
monster::enslaved::minion1	Enslaved	僕魔	minion	"[""hell_immune_cold"", ""minion""]"	blizzhackers/d2data	True	"{""base_id"": ""minion1"", ""source_file"": ""monstats.json""}"
monster::evil-demon-hut::evilhut	Evil Demon Hut	邪惡魔屋	\N	[]	blizzhackers/d2data	True	"{""base_id"": ""evilhut"", ""source_file"": ""monstats.json""}"
monster::faithful::zealot2	Faithful	忠誠信使	zakarum	"[""hell_immune_cold"", ""hell_immune_drain_effectiveness"", ""zakarum""]"	blizzhackers/d2data	True	"{""base_id"": ""zealot1"", ""source_file"": ""monstats.json""}"
monster::fallen::fallen1	Fallen	沈淪魔	fallen	"[""fallen"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""fallen1"", ""source_file"": ""monstats.json""}"
monster::fallen-shaman::fallenshaman1	Fallen Shaman	沈淪巫師	fallen	"[""fallen"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""fallenshaman1"", ""source_file"": ""monstats.json""}"
monster::fanatic-enslaved::suicideminion1	Fanatic Enslaved	狂信者僕魔	minion	"[""hell_immune_cold"", ""minion""]"	blizzhackers/d2data	True	"{""base_id"": ""suicideminion1"", ""source_file"": ""monstats.json""}"
monster::feeder::mosquito2	Feeder	餵食者	mosquito	"[""hell_immune_poison"", ""mosquito""]"	blizzhackers/d2data	True	"{""base_id"": ""mosquito1"", ""source_file"": ""monstats.json""}"
monster::festering-appendages::baaltentacle1	Festering Appendages	腐爛的附肢	demon	"[""demon"", ""hell_immune_cold"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""baaltentacle1"", ""source_file"": ""monstats.json""}"
monster::festering-appendages::baaltentacle2	Festering Appendages	腐爛的附肢	demon	"[""demon"", ""hell_immune_cold"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""baaltentacle1"", ""source_file"": ""monstats.json""}"
monster::festering-appendages::baaltentacle3	Festering Appendages	腐爛的附肢	demon	"[""demon"", ""hell_immune_cold"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""baaltentacle1"", ""source_file"": ""monstats.json""}"
monster::festering-appendages::baaltentacle4	Festering Appendages	腐爛的附肢	demon	"[""demon"", ""hell_immune_cold"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""baaltentacle1"", ""source_file"": ""monstats.json""}"
monster::festering-appendages::baaltentacle5	Festering Appendages	腐爛的附肢	demon	"[""demon"", ""hell_immune_cold"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""baaltentacle1"", ""source_file"": ""monstats.json""}"
monster::fetid-defiler::putriddefiler3	Fetid Defiler	臭氣污穢者	putriddefiler	"[""hell_immune_poison"", ""putriddefiler""]"	blizzhackers/d2data	True	"{""base_id"": ""putriddefiler1"", ""source_file"": ""monstats.json""}"
monster::fetish::fetish2	Fetish	小矮人	fetish	"[""fetish"", ""hell_immune_drain_effectiveness"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""fetish1"", ""source_file"": ""monstats.json""}"
monster::fetish::fetishblow2	Fetish	小矮人	fetish	"[""fetish"", ""hell_immune_drain_effectiveness"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""fetishblow1"", ""source_file"": ""monstats.json""}"
monster::fetish-shaman::fetishshaman2	Fetish Shaman	小矮人巫師	fetish	"[""fetish"", ""hell_immune_drain_effectiveness"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""fetishshaman1"", ""source_file"": ""monstats.json""}"
monster::fiend::batdemon2	Fiend	魔鬼	batdemon	"[""batdemon"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""batdemon1"", ""source_file"": ""monstats.json""}"
monster::fiend::batdemon7	Fiend	魔鬼	batdemon	"[""batdemon"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""batdemon1"", ""source_file"": ""monstats.json""}"
monster::fire-boar::minion4	Fire Boar	火野豬	minion	"[""hell_immune_fire"", ""minion""]"	blizzhackers/d2data	True	"{""base_id"": ""minion1"", ""source_file"": ""monstats.json""}"
monster::fire-golem::firegolem	Fire Golem	火石魔	golem	"[""golem"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""firegolem"", ""source_file"": ""monstats.json""}"
monster::fire-tower::firetower	Fire Tower	火焰塔	construct	"[""construct"", ""hell_immune_poison""]"	blizzhackers/d2data	True	"{""base_id"": ""firetower"", ""source_file"": ""monstats.json""}"
monster::flame-spider::arach4	Flame Spider	火焰蜘蛛	arach	"[""arach"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""arach1"", ""source_file"": ""monstats.json""}"
monster::flayer::fetish3	Flayer	剝皮者	fetish	"[""fetish"", ""hell_immune_cold"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""fetish1"", ""source_file"": ""monstats.json""}"
monster::flayer::fetish6	Flayer	剝皮者	fetish	"[""fetish"", ""hell_immune_drain_effectiveness"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""fetish1"", ""source_file"": ""monstats.json""}"
monster::flayer::fetishblow3	Flayer	剝皮者	fetish	"[""fetish"", ""hell_immune_cold"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""fetishblow1"", ""source_file"": ""monstats.json""}"
monster::flayer::fetishblow6	Flayer	剝皮者	fetish	"[""fetish"", ""hell_immune_drain_effectiveness"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""fetishblow1"", ""source_file"": ""monstats.json""}"
monster::flayer-shaman::fetishshaman3	Flayer Shaman	剝皮巫師	fetish	"[""fetish"", ""hell_immune_drain_effectiveness"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""fetishshaman1"", ""source_file"": ""monstats.json""}"
monster::flayer-shaman::fetishshaman6	Flayer Shaman	剝皮巫師	fetish	"[""fetish"", ""hell_immune_drain_effectiveness"", ""hell_immune_fire""]"	blizzhackers/d2data	True	"{""base_id"": ""fetishshaman1"", ""source_file"": ""monstats.json""}"
monster::flesh-archer::cr_archer5	Flesh Archer	血肉弓箭手	corruptrogue	"[""corruptrogue"", ""hell_immune_cold"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""cr_archer1"", ""source_file"": ""monstats.json""}"
monster::flesh-beast::vilechild1	Flesh Beast	血肉野獸	vilekind	"[""hell_immune_cold"", ""vilekind""]"	blizzhackers/d2data	True	"{""base_id"": ""vilechild1"", ""source_file"": ""monstats.json""}"
monster::flesh-beast::vilechild5	Flesh Beast	血肉野獸	vilekind	"[""hell_immune_cold"", ""vilekind""]"	blizzhackers/d2data	True	"{""base_id"": ""vilechild1"", ""source_file"": ""monstats.json""}"
monster::flesh-hunter::corruptrogue5	Flesh Hunter	血肉獵人	corruptrogue	"[""corruptrogue"", ""hell_immune_cold"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""corruptrogue1"", ""source_file"": ""monstats.json""}"
monster::flesh-hunter::corruptrogue6	Flesh Hunter	血肉獵人	corruptrogue	"[""corruptrogue"", ""hell_immune_cold"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""corruptrogue1"", ""source_file"": ""monstats.json""}"
monster::flesh-lancer::cr_lancer5	Flesh Lancer	血肉長槍手	corruptrogue	"[""corruptrogue"", ""hell_immune_cold"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""cr_lancer1"", ""source_file"": ""monstats.json""}"
monster::flesh-spawner::vilemother1	Flesh Spawner	血肉復甦者	vilekind	"[""hell_immune_cold"", ""vilekind""]"	blizzhackers/d2data	True	"{""base_id"": ""vilemother1"", ""source_file"": ""monstats.json""}"
monster::flesh-spawner::vilemother5	Flesh Spawner	血肉復甦者	vilekind	"[""hell_immune_cold"", ""vilekind""]"	blizzhackers/d2data	True	"{""base_id"": ""vilemother1"", ""source_file"": ""monstats.json""}"
monster::flying-scimitar::flyingscimitar	Flying Scimitar	飛空彎刀	construct	"[""construct"", ""hell_immune_fire"", ""hell_immune_lightning""]"	blizzhackers/d2data	True	"{""base_id"": ""flyingscimitar"", ""source_file"": ""monstats.json""}"
monster::foul-crow::foulcrow1	Foul Crow	惡臭烏鴉	foulcrow	"[""foulcrow"", ""hell_immune_drain_effectiveness"", ""hell_immune_poison""]"	blizzhackers/d2data	True	"{""base_id"": ""foulcrow1"", ""source_file"": ""monstats.json""}"
monster::foul-crow::foulcrow5	Foul Crow	惡臭烏鴉	foulcrow	"[""foulcrow"", ""hell_immune_cold"", ""hell_immune_drain_effectiveness""]"	blizzhackers/d2data	True	"{""base_id"": ""foulcrow1"", ""source_file"": ""monstats.json""}"
monster::foul-crow-nest::crownest1	Foul Crow Nest	邪惡烏鴉之巢	\N	[]	blizzhackers/d2data	True	"{""base_id"": ""crownest1"", ""source_file"": ""monstats.json""}"
monster::frenzied-hell-spawn::suicideminion10	Frenzied Hell Spawn	狂亂地獄惡靈	minion	"[""hell_immune_fire"", ""minion""]"	blizzhackers/d2data	True	"{""base_id"": ""suicideminion1"", ""source_file"": ""monstats.json""}"
monster::frenzied-hell-spawn::suicideminion5	Frenzied Hell Spawn	狂亂地獄惡靈	minion	"[""hell_immune_fire"", ""minion""]"	blizzhackers/d2data	True	"{""base_id"": ""suicideminion1"", ""source_file"": ""monstats.json""}"
monster::frenzied-ice-spawn::suicideminion6	Frenzied Ice Spawn	狂亂冰封惡靈	minion	"[""hell_immune_cold"", ""minion""]"	blizzhackers/d2data	True	"{""base_id"": ""suicideminion1"", ""source_file"": ""monstats.json""}"
monster::frozen-abyss::snowyeti4	Frozen Abyss	冰封地獄	snowyeti	"[""hell_immune_cold"", ""hell_immune_drain_effectiveness"", ""snowyeti""]"	blizzhackers/d2data	True	"{""base_id"": ""snowyeti1"", ""source_file"": ""monstats.json""}"
monster::frozen-creeper::frozenhorror1	Frozen Creeper	寒冰爬行者	frozenhorror	"[""frozenhorror"", ""hell_immune_cold""]"	blizzhackers/d2data	True	"{""base_id"": ""frozenhorror1"", ""source_file"": ""monstats.json""}"
monster::frozen-horror::frozenhorror4	Frozen Horror	寒冰驚怖者	frozenhorror	"[""frozenhorror"", ""hell_immune_cold""]"	blizzhackers/d2data	True	"{""base_id"": ""frozenhorror1"", ""source_file"": ""monstats.json""}"
monster::frozen-scorch::frozenhorror5	Frozen Scorch	冰凍焦痕	frozenhorror	"[""frozenhorror"", ""hell_immune_cold""]"	blizzhackers/d2data	True	"{""base_id"": ""frozenhorror1"", ""source_file"": ""monstats.json""}"
